modern;traditional
загнётся;загнётся
загнёшься;загнёшься
загниёт;загніётъ
заговенье;за́говѣнье (послѣ́дній де́нь пе́редъ посто́мъ)
заговорённый;заговорённый
заголённый;заголённый
заголовок;заголо́вокъ, въ заголо́вкѣ
загорание;загора́ніе
загорать;загора́ть и загара́ть
загоревать;загорева́ть
загорелый;загорѣ́лый, загорѣ́ть
Загорецкий;Загорѣ́цкій
загорье;заго́рье, заго́рій
заграждение;загражде́ніе
заграждённый;заграждённый
заграница;заграни́ца (намъ заграни́ца не указъ, шля́ться по заграни́цамъ)
заграницей;заграни́цей (торгова́ть съ заграни́цей)
за границей;за грани́цей, за грани́цею (жить за грани́цей)
за границу;за грани́цу (поѣ́хать за грани́цу)
заграницу;заграни́цу (люби́ть заграни́цу)
заграничного;заграни́чнаго
заграничное;заграни́чное
заграничные;заграни́чные (м. р.), заграни́чныя (ж. р. и ср. р.)
заграничный;заграни́чный, заграни́чнаго, заграни́чная
Загреб;За́гребъ
загрёб;загрёбъ
загребать;загреба́ть
загребёт;загребётъ
загребной;загребно́й (гребе́цъ, рабо́тающій пе́рвымъ отъ кормы́ лѣ́вымъ весло́мъ и́ли па́рой вёселъ)
загребтилось;загре́бтилось (тоска́ нашла́) — уcтap.
загребущий;загребу́щій, загребу́щаго
загреметь;загремѣ́ть
загромождённый;загромождённый
загрубелый;загрубѣ́лый
загрубеть;загрубѣ́ть
загрызенный;загры́зенный
загрызёт;загрызётъ, загрызёте
загрязнённый;загрязнённый
загудел;загудѣ́лъ
загудеть;загудѣ́ть
загул;загу́лъ, въ загу́лѣ
загуляет;загуля́етъ, загуля́ете
загустевать;загустѣва́ть
загустеть;загустѣ́ть
загущённый;загущённый
задавленный;зада́вленный
задавшее;зада́вшее
задаём;задаёмъ
задаёт;задаётъ, задаёте
задаёшь;задаёшь
задайте;зада́йте
задание;зада́ніе, зада́ніемъ, на зада́ніи
заданные;за́данные (м. р.), за́данныя (ж. р. и ср. р.)
задача;зада́ча, въ зада́чѣ, зада́чей
задвинет;задви́нетъ, задви́нете
задевать;задѣва́ть, задѣва́етъ, задѣва́ете
задействовать;задѣ́йствовать
задел;задѣ́лъ (что́-либо, загото́вленное про запа́съ, на бу́дущее), въ задѣ́лѣ
задел;задѣ́лъ (задѣ́ть), задѣ́ло, задѣ́ла, задѣ́ли
заделать;задѣ́лать, задѣ́лывать, задѣ́ланный
заделка;задѣ́лка, при задѣ́лкѣ
задело;задѣ́ло (косну́лось)
за дело;за дѣ́ло (подѣло́мъ)
заделье;задѣ́лье (за́работокъ, вы́ручка за труды́), задѣ́льный
задену;задѣ́ну, задѣ́ньте, задѣ́нете
задёргал;задёргалъ, задёргаетъ, задёргаете
задеревенеть;задеревянѣ́ть, задеревенѣ́ть
задерёт;задерётъ, задерёте, задери́те, задерёмъ, задерёшь, задерутъ
задержал;задержа́лъ, задержи́те
задержаться;задержа́ться, задержи́тесь и заде́ржитесь
задержка;заде́ржка, при заде́ржкѣ
задержусь;задержу́сь, заде́ржитесь и задержи́тесь
задёрнуть;задёрнуть, задёрнете
задеть;задѣ́ть
задёшево;задёшево
задневать;заднева́ть
заднего;за́дняго
заднее;за́днее, за́дняго
Заднепровье;Заднѣпро́вье
заднепроходный;заднепрохо́дный
задние;за́дніе (м. р.), за́днія (ж. р. и ср. р.)
задний;за́дній, за́дняго, на за́днемъ (дворѣ́)
задобренный;задо́бренный
задолго;задо́лго
задолженность;задо́лженность
задор;задо́ръ, въ задо́рѣ
задорнее;задо́рнѣе
задорное;задо́рное, задо́рнаго
задорные;задо́рные (м. р.), задо́рныя (ж. р. и ср. р.)
задохнётесь;задохнётесь
задребезжать;задребезжа́ть
задрейфить;задре́йфить
задремать;задрема́ть (дрёма)
задрёмывать;задрёмывать
задубеть;задубѣ́ть
задует;заду́етъ, заду́ете
задуешь;заду́ешь
задувает;задува́етъ, задува́ете
задуваешь;задува́ешь
задувший;заду́вшій
задумать;заду́мать, заду́маетъ, заду́маете, заду́маешь, заду́маемъ
задумчивое;заду́мчивое, заду́мчиваго
задумчивые;заду́мчивые (м. р.), заду́мчивыя (ж. р. и ср. р.)
задурённый;задурённый
задушевнее;задуше́внѣе
задушевного;задуше́внаго
задушевное;задуше́вное
задушевные;задуше́вные (м. р.), задуше́вныя (ж. р. и ср. р.)
задушевный;задуше́вный, задуше́внаго
задушенный;заду́шенный, заду́шеннаго
задымлённый;задымлённый
задыхается;задыха́ется, задыха́етесь
заевшие;заѣ́вшіе (м. р.), заѣ́вшія (ж. р. и ср. р.)
заевший;заѣ́вшій, заѣ́вшее, заѣ́вшаго
заегозить;заегози́ть
заедает;заѣда́етъ
заедет;заѣ́детъ, заѣ́дете, заѣ́демъ, заѣ́дешь, заѣ́дутъ, заѣ́дьте
заедино;заеди́но (сообща́, вмѣ́стѣ, нераздѣ́льно)
заёжиться;заёжиться
заезд;заѣ́здъ, въ заѣ́здѣ
заездить;заѣ́здить
заезжать;заѣзжа́ть, заѣзжа́йте, заѣзжа́ете
заезжего;заѣ́зжаго
заезженный;заѣ́зженный
заезжие;заѣ́зжіе (м. р.), заѣ́зжія (ж. р. и ср. р.)
заезжий;заѣ́зжій, заѣ́зжихъ
заёкать;заёкать
заел;заѣ́лъ
заелозить;заело́зить
заём;заёмъ
заемлет;зае́млетъ (принима́етъ, че́рпаетъ)
заёмщик;заёмщикъ
заёрзать;заёрзать
заерошиться;заеро́шиться
заершиться;заерши́ться, заёршиться
заесть;заѣ́сть
заехала;заѣ́хала
заехать;заѣ́хать
заехидничать;заехи́дничать
зажаренный;зажа́ренный
зажелтеть;зажелтѣ́ть
зажечь;заже́чь
заждётесь;заждётесь
зажёг;зажёгъ, (не зажо́гъ :)
зажжённый;зажжённый
зажжём;зажжёмъ, (не зажжомъ :)
заживает;зажива́етъ
заживём;заживёмъ
заживёт;заживётъ
заживёшь;заживёшь
заживлён;заживлёнъ
заживление;заживле́ніе
заживо;за́живо
зажигательное;зажига́тельное, зажига́тельный, зажига́тельнаго
зажигательные;зажига́тельные (м. р.), зажига́тельныя (ж. р. и ср. р.)
зажирелый;зажирѣ́лый
зажиреть;зажирѣ́ть
зажмём;зажмёмъ
зажмёт;зажмётъ
зажмёшь;зажмёшь
зажрётся;зажрётся
зажуём;зажуёмъ
зажуёт;зажуётъ
зажуёшь;зажуёшь
зазвенеть;зазвенѣ́ть
зазеваться;зазѣва́ться
зазеленеть;зазеленѣ́ть
заземление;заземле́ніе
заземлённый;заземлённый
зазеркалье;зазерка́лье
зазимье;зази́мье
зазовёт;зазовётъ
зазрение;зазрѣ́ніе (безъ зазрѣ́нія со́вѣсти — безъ стѣсне́нія, не испы́тывая стыда́)
зазря;зазря́ (прост. зря), по́пусту
зазубренный;зазу́бренный
заикание;заика́ніе
заикнётся;заикнётся
заилеть;заилѣ́ть
заимеет;заимѣ́етъ, заимѣ́емъ, заимѣ́ешь
заимел;заимѣ́лъ, заимѣ́ли, заимѣ́ла
заиметь;заимѣ́ть
заимодавец;заимода́вецъ
заимствование;заи́мствованіе
заиндевелый;заиндевѣ́лый, заиндивѣ́лый
заиндеветь;заиндевѣ́ть, заиндивѣ́ть
заинтересован;заинтересо́ванъ
заинька;за́инька, за́енька
зайдём;зайдёмъ, зайдёте
зайдите;зайди́те
займём;займёмъ
займёт;займётъ, займёте
займитесь;займи́тесь
займище;за́ймище (прибре́жная полоса́, затопля́емая разли́вомъ)
Зайончек;Заіо́нчекъ
зайти;зайти́
Зайцев;За́йцевъ
зайчонок;зайчёнокъ
закабаление;закабале́ніе
закабалённый;закабалённый
закадычный;закады́чный (бли́зкій, задуше́вный — о дру́гѣ, прія́телѣ и́ли о дру́жескихъ, прія́тельскихъ отноше́ніяхъ)
закажет;зака́жетъ, зака́жемъ, зака́жешь
заказ;зака́зъ, въ зака́зѣ, по зака́зу, на зака́зъ
заказец;зака́зецъ, зака́зцемъ
заказное;заказно́е, заказно́го
заказные;заказны́е (м. р.), заказны́я (ж. р. и ср. р.)
заказчик;зака́зчикъ
закалённого;закалённаго
закалённое;закалённое
закалённые;закалённые (м. р.), закалённыя (ж. р. и ср. р.)
закалённый;закалённый, закалённаго
Закамье;Зака́мье
заканчивает;зака́нчиваетъ, зака́нчиваете, зака́нчивается
закат;зака́тъ, на зака́тѣ
закинет;заки́нетъ, заки́нете, заки́нешь, заки́ньте
Закинф;Заки́нѳъ
закипел;закипѣ́лъ
заклание;закла́ніе (преда́ніе сме́рти пронза́ніемъ ко́лющимъ ору́жіемъ, обы́чно при жертвоприноше́ніи)
заклёванный;заклёванный
заклеенный;закле́енный
заклеймённый;заклеймённый
заклёпка;заклёпка, на заклёпкѣ
заклинание;заклина́ніе
заклиненный;закли́ненный
заклинённый;заклинённый
заклинье;закли́нье
заклюёт;заклюётъ
заключает;заключа́етъ
заключающееся;заключа́ющееся, заключа́ющагося
заключение;заключе́ніе, заключа́етъ
заключённый;заключённый, заключённаго
заключительный;заключи́тельный
заклятие;"закля́тіе (заклина́ніе; на нёмъ лежи́тъ закля́тіе — онъ заколдо́ванъ)"
заковать;закова́ть
заколебать;заколеба́ть
заколесить;заколеси́ть
заколоченный;заколо́ченный
закон;зако́нъ, воръ въ зако́нѣ
законен;зако́ненъ
законного;зако́ннаго
законное;зако́нное тре́бованіе полице́йскаго инспе́ктора
законнорождённый;законнорождённый, законнорождённаго
законность;зако́нность
законные;зако́нные (м. р.), зако́нныя (ж. р. и ср. р.)
законный;зако́нный, зако́ннаго, зако́ненъ
законоведение;законовѣ́дѣніе
законодательный;законода́тельный, законода́тельнаго
закономерно;закономѣ́рно, закономѣ́рное, закономѣ́рность
закономерные;закономѣ́рные (м. р.), закономѣ́рныя (ж. р. и ср. р.)
закономерный;закономѣ́рный, закономѣ́рнаго
законопаченный;законопа́ченный
законопреступник;законопресту́пникъ
закончен;зако́нченъ, зако́нчено, зако́нчены
законченный;зако́нченный, зако́нченное
закончите;зако́нчите, зако́нчитесь
закопёрщик;закопёрщикъ (зачи́нщикъ, верхово́дъ)
закоптелый;закоптѣ́лый
закопчённый;закопчённый
закоренелый;закоренѣ́лый
закормленный;зако́рмленный
закоснелый;закоснѣ́лый
закостенелый;закостенѣ́лый
закоулок;закоу́локъ, въ закоу́лкѣ
закоулочек;закоу́лочекъ, въ закоу́лочкѣ
закоченелый;закоченѣ́лый, закоченѣ́лаго
закрадётся;закрадётся
закраснеться;закраснѣ́ться
закрашенный;закра́шенный, закра́шеннаго
закрепить;закрѣпи́ть, закрѣпи́ться
закреплён;закрѣплёнъ
закреплять;закрѣпля́ть
закрепостить;закрѣпости́ть
закрепощённый;закрѣпощённый
закрепощение;закрѣпоще́ніе
закреститься;закрести́ться
закривлённый;закривлённый
закроет;закро́етъ (закры́ть), закро́йте, закро́йтесь
закроется;закро́ется
закругление;закругле́ніе
закруглённый;закруглённый
закрученный;закру́ченный
закрывайте;закрыва́йте, закрыва́ете, закрыва́етъ
закрытие;закры́тіе, при закры́тіи
закуёт;закуётъ, закуёте
закукарекать;закукаре́кать
закупленный;заку́пленный
закупоренный;заку́поренный
Закхей;Закхе́й
зал;залъ (въ обще́ственномъ собра́ніи), за́ла и за́ло (въ до́мѣ), въ за́лѣ
зала;за́ла и за́ло (въ до́мѣ), въ за́лѣ
залёг;залёгъ, залегла́, залегли́
залёгший;залёгшій, залёгшаго
заледенеть;заледенѣ́ть
залежалый;залежа́лый, залежа́лаго, залежа́лое
залёживаться;залёживаться
залежь;за́лежь, за́лежей
залез;залѣ́зъ, залѣ́зла, залѣ́зли
залезает;залѣза́етъ, залѣза́ете, залѣза́емъ, залѣза́ешь, залѣза́ютъ
залезай;залѣза́й, залѣза́йте
залезет;залѣ́зетъ, залѣ́зете, залѣ́земъ, залѣ́зешь, залѣ́зутъ
залезть;залѣ́зть, залѣза́ть
залезь;залѣ́зь, залѣ́зьте
залей;зале́й, зале́йте, зальётъ, зальёмъ, зальёшь
залениться;залѣни́ться
залепетал;залепета́лъ
залепить;залѣпи́ть
залесённый;залѣсённый
Залесский;Залѣ́сскій
залесье;залѣ́сье
залёт;залётъ
залетевшее;залетѣ́вшее
залетевшие;залетѣ́вшіе (м. р.), залетѣ́вшія (ж. р. и ср. р.)
залетевший;залетѣ́вшій, залетѣ́вшаго
залететь;залетѣ́ть, залетѣ́лъ, залетѣ́ла, залетѣ́ли, залетѣ́ло
залётка;"залётка (случа́йно и ненадо́лго появи́вшійся заѣ́зжій человѣ́къ; любо́вникъ)"
залечить;залѣчи́ть, залѣчи́те и залѣ́чите
залечу;залечу́ (отъ залетѣ́ть), залѣчу́ (отъ залѣчи́ть)
залечь;зале́чь
залив;зали́въ, на зали́вѣ
заливает;залива́етъ, залива́ете
заливень;за́ливень (у́лей, гдѣ со́ты спло́шь за́литы мёдомъ)
заливное;заливно́е, заливно́го
залишек;зали́шекъ (изли́шекъ)
залишнее;зали́шнее (ли́шнее, изли́шнее, оста́точное, нену́жное) — уcтap.
заложенный;зало́женный, зало́женнаго
заломленный;зало́мленный
залужённый;залужённый
зальёмся;зальёмся
зальётся;зальётся
зальёшься;зальёшься
заляжет;заля́жетъ, заля́жете
замалёванный;замалёванный
замалевать;замалева́ть
заматерелый;заматерѣ́лый и заматорѣ́лый
замахнётся;замахнётся
Замбези;Замбе́зи
замедление;замедле́ніе
замедленно;заме́дленно
замедленного;заме́дленнаго
замедленное;заме́дленное
замедленны;заме́дленны
замедленные;заме́дленные (м. р.), заме́дленныя (ж. р. и ср. р.)
замедленный;заме́дленный, заме́дленнаго
замедлитель;замедли́тель
замедлить;заме́длить, заме́длиться
замедлять;замедля́ть, замедля́ться
замелить;замѣли́ть
замело;замело́
замелькать;замелька́ть
замена;замѣ́на, при замѣ́нѣ
заменён;замѣнёнъ
заменённый;замѣнённый
заменит;замѣ́нитъ
заменитель;замѣни́тель
заменить;замѣни́ть, замѣню́, замѣ́нитъ
заменю;замѣню́
заменять;замѣня́ть
замер;"замѣ́ръ (отъ мѣ́рить), при замѣ́рѣ; но за́меръ (отъ замере́ть)"
замереть;замере́ть, замру́, замрётъ, за́меръ, замерла́, за́мерли, за́мерло
замерещиться;замере́щиться
замерзает;замерза́етъ, замерза́ете, замерза́емъ, замерза́ешь, замерза́ютъ
замёрзнет;замёрзнетъ, замёрзнете, замёрзнешь, замёрзнемъ, замёрзнутъ
замёрзнут;замёрзнутъ
замёрзший;замёрзшій (отъ замерза́ть)
замерить;замѣ́рить, замѣ́рите, замѣ́рять и замѣря́ть
замерка;замѣ́рка, при замѣ́ркѣ
замертво;за́мертво
замерший;за́мершій (отъ замере́ть)
замерять;замѣря́ть
замес;замѣ́съ, въ замѣ́сѣ
замесить;замѣси́ть
замести;замести́
заместитель;замѣсти́тель
заместо;замѣ́сто (вмѣ́сто) — уcтap.
заметался;замета́лся
замёт;замётъ (не́вода)
заметает;замета́етъ
замётанный;замётанный
замётано;замётано
заметать;замета́ть, замело́
заметённый;заметённый
заметить;замѣ́тить, замѣ́тите, замѣ́титъ, замѣ́тилъ, замѣ́тила, замѣ́тили, замѣ́тятъ, замѣ́тишь, замѣ́тимъ
заметка;замѣ́тка, въ замѣ́ткѣ, замѣ́тки, замѣ́ткой, замѣ́тками
замётка;замётка (шовъ кру́пными стежка́ми)
заметнее;замѣ́тнѣе
заметно;замѣ́тно
заметного;замѣ́тнаго
заметное;замѣ́тное
заметные;замѣ́тные (м. р.), замѣ́тныя (ж. р. и ср. р.)
заметный;замѣ́тный, замѣ́тнаго
заметь;замѣ́ть, замѣ́тьте
замётывать;замётывать (зашива́ть кру́пными стежка́ми)
замечает;замѣча́етъ, замѣча́ете, замѣча́ютъ, замѣча́емъ, замѣча́ешь
замечание;замѣча́ніе
замечательнейшие;замѣча́тельнѣйшіе (м. р.), замѣча́тельнѣйшія (ж. р. и ср. р.)
замечательно;замѣча́тельно, замѣча́тельнѣе
замечательное;замѣча́тельное
замечательные;замѣча́тельные (м. р.), замѣча́тельныя (ж. р. и ср. р.)
замечательный;замѣча́тельный, замѣча́тельнаго
замечать;замѣча́ть
замеченный;замѣ́ченный
замечтаться;замечта́ться
замечу;замѣ́чу
замешанный;замѣ́шанный (отъ замѣша́ть — онъ замѣ́шанъ въ э́томъ дѣ́лѣ)
замешательство;замѣша́тельство, въ замѣша́тельствѣ
замешенный;замѣ́шенный (отъ замѣси́ть — замѣ́шенное тѣ́сто)
замешивать;замѣ́шивать
замешкаться;замѣ́шкаться
замещать;замѣща́ть
замещённый;замѣщённый
замирает;замира́етъ, замира́ете, замира́емъ, замира́ешь
замирание;замира́ніе
замирение;замире́ніе
замирённый;замирённый (отъ мири́ть)
замирить;замири́ть
замкнётся;замкнётся
замлеть;замлѣ́ть
замнётся;замнётся
замок;за́мокъ, въ за́мкѣ
замок;замо́къ, на замкѣ́
замораживать;замора́живать
заморённый;заморённый
замороженные;заморо́женные (м. р.), заморо́женныя (ж. р. и ср. р.)
замороженный;заморо́женный, заморо́женнаго, заморо́женное
замороченный;заморо́ченный
заморские;замо́рскіе (м. р.), замо́рскія (ж. р. и ср. р.)
заморский;замо́рскій, замо́рскаго
заморье;замо́рье
замоскворецкий;замоскворѣ́цкій
Замоскворечье;Замоскворѣ́чье
замостье;замо́стье
замочек;замо́чекъ
замоченный;замо́ченный
замошье;замо́шье
замощённый;замощённый
замрём;замрёмъ
замрёт;замрётъ
замрёшь;замрёшь
замуж;за́мужъ
замужем;за́мужемъ
замужество;заму́жество и заму́жство, въ заму́жествѣ
замужние;заму́жнія (не заму́жніе! :)
замутнение;замутне́ніе
замутнённый;замутнённый
замученный;заму́ченный, заму́ченнаго
замшевый;за́мшевый, за́мшеваго
замшелый;замше́лый, замше́лаго (мши́ться, замши́ться)
замыленный;замы́ленный, замы́леннаго
замысел;за́мыселъ, за́мыслъ
занавес;за́навѣсъ (м. р.), за́навѣсь (ж. р.)
занавеса;занавѣ́са, за́навѣсь, занавѣ́ска
занавеска;занавѣ́ска, за́навѣсь, занавѣ́са, занавѣ́ски
занавесочка;занавѣ́сочка
занавесь;за́навѣсь, занавѣ́ска, занавѣ́са
занавешивать;занавѣ́шивать
зане;зане́ (и́бо, для того́, потому́ что, такъ какъ) — уcтap.
заневеститься;заневѣ́ститься (дости́гнуть извѣ́стнаго во́зраста :)
заневолить;занево́лить
занедужить;занеду́жить (заболѣ́ть, захвора́ть)
занежиться;занѣ́житься
занемевшие;занѣмѣ́вшіе (м. р.), занѣмѣ́вшія (ж. р. и ср. р.)
занемевший;занѣмѣ́вшій
занемеет;занѣмѣ́етъ
занемеешь;занѣмѣ́ешь
занемел;занѣмѣ́лъ
занемела;занѣмѣ́ла
занемели;занѣмѣ́ли
занемело;занѣмѣ́ло
занеметь;занѣмѣ́ть
занемеют;занѣмѣ́ютъ
занемочь;занемо́чь (почу́вствовать недомога́ніе, заболѣ́ть)
занесение;занесе́ніе, занесе́нье
занесённый;занесённый, занесённаго
занесло;занесло́
занести;занести́, зане́сть
занёсшийся;занёсшійся
занимается;занима́ется, занима́етесь
занимательно;занима́тельно, занима́тельное
занимательные;занима́тельные (м. р.), занима́тельныя (ж. р. и ср. р.)
занимательный;занима́тельный, занима́тельнаго
заново;за́ново
занос;зано́съ, въ зано́сѣ
заносчивый;зано́счивый, зано́счиваго
заночевать;заночева́ть
занятие;заня́тіе, заня́тія, на заня́тіяхъ
занятнее;заня́тнѣе
занятного;заня́тнаго
занятное;заня́тное
занятные;заня́тные (м. р.), заня́тныя (ж. р. и ср. р.)
заодно;заодно́ (наpѣч.), но за одно́ сло́во
заозерье;заозе́рье
заозёрье;заозёрье
за океаном;за океа́номъ
заокеанские;заокеа́нскіе (м. р.), заокеа́нскія (ж. р. и ср. р.)
заокеанский;заокеа́нскій, заокеа́нскаго
заокеанского;заокеа́нскаго
заокеанское;заокеа́нское
заорём;заорёмъ
заорёт;заорётъ, заорёте
заорёшь;заорёшь
заострённые;заострённые (м. р.), заострённыя (ж. р. и ср. р.)
заострённый;заострённый, заострённое, заострённаго
заострите;заостри́те
заочное;зао́чное обуче́ніе, зао́чнаго
заочные;зао́чные (м. р.), зао́чныя (ж. р. и ср. р.)
запавшее;запа́вшее
запад;за́падъ, на за́падѣ
западает;запада́етъ, запада́ете, запада́ешь
западёт;западётъ
западнее;за́паднѣе
западнёй;западнёй, въ западнѣ́
западноевропейский;за́падно-европе́йскій
западные;за́падные (м. р.), за́падныя (ж. р. и ср. р.)
западня;западня́, въ западнѣ́, западнёй
запакощенный;запа́кощенный
запалённый;запалённый
запальчивый;запа́льчивый
запанибрата;"за-панибра́та (какъ съ ра́внымъ; безцеремо́нно, за́просто)"
запас;запа́съ, въ запа́сѣ
запасём;запасёмъ
запасённый;запасённый
запасливый;запа́сливый
запасное;запасно́е, запасно́го
запасной;запасно́й (игро́къ), запасно́го и проф. запа́сный (путь), запа́снаго
запасные;запасны́е (м. р.), запасны́я (ж. р. и ср. р.)
запах;"за́пахъ (воспрія́тіе обоня́нія), при за́пахѣ; запа́хъ (у оде́жды)"
запахнет;запа́хнетъ (отъ за́пахъ)
запахнёт;запахнётъ (отъ запахну́ть)
запев;запѣ́въ
запевала;запѣва́ла и запѣва́ло
запей;запе́й, запе́йте
запекание;запека́ніе
запеканка;запека́нка
запёкшийся;запёкшійся
запеленать;запелена́ть
запел;запѣ́лъ, запѣ́ла, запѣ́ли
запелось;запѣ́лось
запенивать;запѣ́нивать
запер;за́перъ (на запо́ръ)
запереть;запере́ть, запрётъ, за́перъ, заперла́, за́перло, (но запира́ніе!)
заперт;за́пертъ, за́перто, заперта́, за́перты
заперта;заперта́
заперто;за́перто
запертого;за́пертаго
запертое;за́пертое
запертые;за́пертые (м. р.), за́пертыя (ж. р. и ср. р.)
запертый;за́пертый, за́пертаго
заперхать;запе́рхать
заперший;за́першій, за́першійся
запершить;запе́ршить
запестреть;запестрѣ́ть
запеть;запѣ́ть
запечатать;запеча́тать, запеча́тывать
запечатлённый;запечатлѣ́нный (не запечетлѣ́нный!)
запечатлеть;"запечатлѣ́ть, запечатлѣ́нъ (воплоти́ть въ произведе́ніи иску́сства; сохрани́ть въ па́мяти)"
запечённый;запечённый
запечь;запе́чь, запечёте
запечье;запе́чье
запирает;запира́етъ (но запере́ть)
запирательство;запира́тельство (упо́рное нежела́ніе созна́ться въ содѣ́янномъ)
записка;запи́ска, въ запи́скѣ
запись;за́пись, за́писей
запихнёшь;запихнёшь
запишем;запи́шемъ, запи́шете но запиши́те
запишите;запиши́те но запи́шете
заплавленный;запла́вленный
заплатишь;запла́тишь, запла́тятъ, запла́ченъ (пpич., произн. запло́ченъ)
заплачем;запла́чемъ, запла́чете
заплёванный;заплёванный
заплевать;заплева́ть
заплёл;заплёлъ, заплела́, заплели́
заплёсканный;заплёсканный
заплескать;заплеска́ть
заплесневеть;заплѣ́сневѣть, заплѣ́снѣть
заплёсок;заплёсокъ
заплести;заплести́, запле́сть
заплетать;заплета́ть
заплетём;заплетёмъ
заплетён;заплетёнъ
заплечик;запле́чикъ
заплечный;"запле́чный; запле́чныхъ дѣ́лъ ма́стеръ (пала́чъ)"
заплешивевший;заплѣши́вѣвшій
заплешиветь;заплѣши́вѣть, заплѣши́вѣю, заплѣши́вѣетъ
заплывёт;заплывётъ, заплывёте
заплюёт;заплюётъ, заплюёте
запнётся;запнётся, запнётесь
заповедание;заповѣ́даніе
заповедь;за́повѣдь (религіо́зно-нра́вственное предписа́ніе)
заповедник;заповѣ́дникъ, въ заповѣ́дникѣ
заповедного;заповѣ́днаго
заповедное;заповѣ́дное
заповедные;заповѣ́дные (м. р.), заповѣ́дныя (ж. р. и ср. р.)
заповедный;заповѣ́дный, заповѣ́днаго
заповедовать;заповѣ́довать, заповѣ́дуетъ
заповедующий;заповѣ́дующій, заповѣ́дующаго
заподлинно;запо́длинно (и́стинно, по́длинно)
заподозрен;заподо́зрѣнъ, заподо́зрить
запоём;запоёмъ (отъ пѣть)
запоем;запо́емъ (пить запо́емъ), въ запо́ѣ
запоёшь;запоёшь, запоёте
запойное;запо́йное, запо́йнаго
запойные;запо́йные (м. р.), запо́йныя (ж. р. и ср. р.)
заполёванный;заполёванный
заполевать;заполева́ть (добы́ть на охо́тѣ)
заползёт;заползётъ
заполнен;запо́лненъ
заполнение;заполне́ніе
заполненный;запо́лненный
заполонённый;заполонённый
заполье;запо́лье (да́льніе уча́стки па́хотной земли́, да́льнія поля́)
запоминаете;запомина́ете
запомненный;запо́мненный
запомните;запо́мните
запонка;за́понка, о за́понкѣ
запорожец;запоро́жецъ (каза́къ изъ Запоро́жской Сѣчи́), о запоро́жцѣ, запоро́жцевъ
Запорожье;Запоро́жье
запорошённый;запорошённый
запотевшее;запотѣ́вшее
запотевшие;запотѣ́вшіе (м. р.), запотѣ́вшія (ж. р. и ср. р.)
запотевший;запотѣ́вшій, запотѣ́вшаго
запотел;запотѣ́лъ, запотѣ́ла, запотѣ́ли, запотѣ́ютъ
запотеть;запотѣ́ть, запотѣ́ете
запредельные;запредѣ́льные (м. р.), запредѣ́льныя (ж. р. и ср. р.)
запредельный;запредѣ́льный, запредѣ́льнаго, запредѣ́льное
запрелый;запрѣ́лый, запрѣ́лаго
запрёмся;запрёмся
запрет;запре́тъ, въ запре́тѣ
запрёт;запрётъ
запрётесь;запрётесь
запретить;запрети́ть
запретные;запре́тные (м. р.), запре́тныя (ж. р. и ср. р.)
запретный;запре́тный, запре́тнаго, запре́тное
запрётся;запрётся
запреть;запрѣ́ть (отъ прѣ́ть)
запрёшься;запрёшься, запрётся, запрётесь
запрещать;запреща́ть, запреща́етъ, запреща́ете
запрещён;запрещёнъ, запрещена́, запрещены́, запрещено́
запрещение;запреще́ніе
запрещённого;запрещённаго
запрещённое;запрещённое, запрещённаго
запрещённые;запрещённые (м. р.), запрещённыя (ж. р. и ср. р.)
запрещённый;запрещённый, запрещённаго
запрещено;запрещено́, запрещена́, запрещены́
заприметил;запримѣ́тилъ
запрос;запро́съ, въ запро́сѣ
запросто;"за́просто (безъ церемо́ній, безъ стѣсне́ній; легко́, безъ уси́лій)"
запрошенный;запро́шенный
запрыгнет;запры́гнетъ, запры́гнете, запры́гнемъ
запряжённый;запряжённый, запряжённаго
запрячь;запря́чь, запря́гъ (запре́чь, запрёгъ)
запуск;за́пускъ, при за́пускѣ
запустение;запустѣ́ніе
запутаннее;запу́таннѣе
запутанное;запу́танное, запу́таннаго
запущенный;запу́щенный, запу́щеннаго
запьём;запьёмъ
запьёт;запьётъ
запьёшь;запьёшь
запылённый;запылённый
запыхтеть;запыхтѣ́ть
запястье;запя́стье, запя́стьемъ, запя́стій
запятые;запяты́я (зна́ки препина́нія)
зарабатывать;зараба́тывать и зарабо́тывать
заражён;заражёнъ
заражение;зараже́ніе
заражённый;заражённый
за раз;за ра́зъ (за оди́нъ ра́зъ), но за́разъ (укр., бѣлорусск. — сейча́съ)
зараз;за́разъ (укр., бѣлорусск. — сейча́съ), но за ра́зъ
заразительно;зарази́тельно, зарази́тельный смѣхъ
заразнее;зара́знѣе, зара́знѣйшій, зара́знѣйшаго
заранее;зара́нѣе, зара́нѣ
зарастать;зараста́ть, зароста́ть
зарастёт;зарастётъ, заростётъ
зарасти;зарасти́, зарости́
заращение;зараще́ніе, заращённый
зарвёшься;зарвёшься, зарвёмся, зарвётся, зарвётесь
зардеет;зардѣ́етъ
зарделась;зардѣ́лась (заря́)
зардеться;"зардѣ́ться (ста́ть я́рко-кра́снымъ — заря́ зардѣ́лась; зардѣ́лась отъ смуще́нія)"
заребячиться;заребя́читься
зарёванный;зарёванный, зарёваннаго
заревел;заревѣ́лъ
заревёт;заревётъ, заревѣ́ть
зареветь;заревѣ́ть, заревётъ
зарево;за́рево, въ за́ревѣ
заревой;зарево́й, зарево́го, зарево́е
